Date,Time,IonicID,Ticker,Type,Shares,Price,Broker,Stamp,Total,NonCash,Note
2/7/2020,00:00,2273,FXPO,Dividend,1079,0.0171547729379,,,,,""
6/7/2020,00:00,2273,FXPO,Dividend,1079,0.0338646895273,,,,,""
26/8/2020,00:00,2273,FXPO,Dividend,1079,0.0328359592215,,,,,""
8/10/2020,00:00,2273,FXPO,Dividend,1079,0.0328822984245,,,,,""
28/1/2021,14:49,2273,FXPO,Dividend,1079,0.0630491195551,,,,,""
15/4/2021,00:00,2273,FXPO,Dividend,1079,0.184810009268,,,,,""
1/7/2021,00:00,2273,FXPO,Dividend,1425,0.0472350877193,,,,,""
1/7/2021,14:11,2273,FXPO,Buy,346,4.32312138728,11.95,7.48,,,""
26/8/2021,00:00,2273,FXPO,Dividend,1425,0.185003508772,,,,,""
1/10/2021,09:26,2273,FXPO,Sell,1425,3.21339649123,11.95,0,,,""
13/8/2019,14:10,2369,SKG,Buy,41,24.3551219512,11.95,9.99,,,""
25/10/2019,00:00,2369,SKG,Dividend,41,0.200487804878,,,,,""
11/8/2020,14:15,2369,SKG,Buy,18,27.2161111111,11.95,4.9,,,""
15/9/2020,00:00,2369,SKG,Dividend,59,0.547966101695,,,,,""
11/12/2020,00:00,2369,SKG,Dividend,59,0.187288135593,,,,,""
12/5/2021,00:00,2369,SKG,Dividend,59,0.557966101695,,,,,""
1/7/2021,14:13,2369,SKG,Buy,38,39.2971052632,11.95,14.93,,,""
26/10/2021,00:00,2369,SKG,Dividend,97,0.183195876289,,,,,""
1/3/2022,10:49,2369,SKG,Sell,97,36.164742268,11.95,0,,,""
10/12/2019,14:52,2482,LSL,Buy,375,2.6596,11.95,4.99,,,""
8/12/2020,14:12,2482,LSL,Sell,375,2.30642666667,11.95,0,,,""
1/2/2021,14:25,2502,PPS,Buy,923,1.08250270856,11.95,0,,,""
1/3/2021,14:24,2502,PPS,Sell,923,0.800195016251,11.95,0,,,""
1/2/2021,14:27,2721,PTEC,Buy,213,4.68507042254,11.95,0,,,""
2/8/2021,14:09,2721,PTEC,Sell,213,3.70723004695,11.95,0,,,""
10/3/2020,14:06,2875,STEM,Buy,342,2.9195,11.95,4.99,,,""
1/3/2021,14:23,2875,STEM,Sell,342,3.38,11.95,0,,,""
12/1/2021,08:59,2896,CTH,Buy,287,5.22547038328,11.95,0,,,""
5/5/2021,00:00,2896,CTH,Dividend,287,0.0874912891986,,,,,""
1/9/2021,12:02,2896,CTH,Buy,231,6.47398268398,11.95,0,,,""
19/11/2021,00:00,2896,CTH,Dividend,518,0.0460038610039,,,,,""
4/1/2022,15:46,2896,CTH,Sell,518,5.80768339768,11.95,0,,,""
10/4/2018,14:20,2898,PFC,Buy,188,5.345,11.95,0,,,""
25/5/2018,00:00,2898,PFC,Dividend,58,0.600344827586,,,,,""
19/10/2018,00:00,2898,PFC,Dividend,151,0.12,,,,,""
9/4/2019,14:15,2898,PFC,Sell,188,5.1912,11.95,0,,,""
11/2/2020,14:12,2899,ENQ,Buy,3867,0.258595810706,11.95,5,,,""
1/2/2021,14:20,2899,ENQ,Sell,3867,0.122927333851,11.95,0,,,""
8/1/2019,14:07,3023,MCRO,Buy,69,14.49,11.95,5,,,""
5/4/2019,00:00,3023,MCRO,Dividend,69,0.452173913043,,,,,""
14/5/2019,12:00,3023,MCRO,Sell,12,19.3116666667,0,0,,,""
30/9/2019,00:00,3023,MCRO,Dividend,57,0.466666666667,,,,,""
14/1/2020,14:34,3023,MCRO,Sell,57,11.1350877193,11.95,0,,,""
1/3/2021,14:27,3052,BLTG,Buy,520,2.88,11.95,0,,,""
18/1/2022,08:04,3052,BLTG,Sell,520,2.2865,11.95,0,,,""
1/6/2021,10:02,3216,AUG#1,Buy,931,2.84399570354,8.95,0,,,""
1/9/2021,11:59,3216,AUG#1,Sell,931,3.31574650913,11.95,0,,,""
14/7/2020,14:16,3245,PFD,Buy,1696,0.883997641509,11.95,7.5,,,""
2/8/2021,14:14,3245,PFD,Buy,1268,1.09570189274,11.95,6.95,,,""
3/8/2021,00:00,3245,PFD,Dividend,2964,0.00572199730094,,,,,""
1/12/2021,08:04,3245,PFD,Sell,2964,1.038218,11.95,0,,,""
12/11/2019,14:14,3463,WMH#1,Buy,578,1.72750865052,11.95,4.99,,,""
10/11/2020,14:09,3463,WMH#1,Sell,578,2.70230103806,11.95,0,,,""
12/2/2019,14:17,3482,POG,Buy,12160,0.082318,11.95,5,,,""
11/2/2020,14:11,3482,POG,Sell,12160,0.161637335526,11.95,0,,,""
12/5/2020,14:18,3482,POG,Buy,5566,0.269468199784,11.95,7.5,,,""
4/5/2021,11:11,3482,POG,Sell,5566,0.259509522098,11.95,0,,,""
13/10/2020,14:08,3687,GNS,Buy,37,39.7689189189,11.95,7.36,,,""
11/12/2020,00:00,3687,GNS,Dividend,37,0.197027027027,,,,,""
1/4/2021,11:45,3687,GNS,Dividend,37,0.102972972973,,,,,""
1/12/2021,15:41,3687,GNS,Sell,37,48.7002,11.95,0,,,""
10/12/2021,00:00,3687,GNS,Dividend,37,0.217027027027,,,,,""
12/1/2021,09:01,3688,IQE,Buy,2006,0.747741774676,11.95,0,,,""
1/6/2021,08:19,3688,IQE,Sell,2006,0.536879361914,8.95,0,,,""
8/9/2020,14:19,3938,DSCV,Buy,248,6.04181451613,11.95,7.49,,,""
15/1/2021,14:48,3938,DSCV,Dividend,248,0.0314919354839,,,,,""
4/5/2021,11:14,3938,DSCV,Buy,189,7.90328042328,11.95,7.47,,,""
3/8/2021,00:00,3938,DSCV,Dividend,437,0.07,,,,,""
1/9/2021,12:04,3938,DSCV,Buy,149,10.0204026846,11.95,7.47,,,""
